,Summary,Custom field (Story Points),Assignee_count,Reporter_count,Creator_count
93,Doing 'clone' on Linux with the CLONE_NEWUSER namespace type can drop root privileges.,5.0,0.0,0.0,0.0
94,Rebuild reservation slack allocator state during master failover.,13.0,0.7857142857142857,0.2,0.2
95,fetcher.cpp - problem with certificates..?,2.0,0.07142857142857142,0.0,0.0
96,MesosContainerizer* tests leak FDs (pipes),2.0,0.42857142857142855,0.37142857142857144,0.37142857142857144
97,Add checks to make sure isolators and the launcher are compatible.,2.0,0.21428571428571427,0.02857142857142857,0.02857142857142857
98,Add accounting for reservation slack in the allocator.,13.0,0.0,0.2,0.2
99,Consistency of quoted strings in error messages,3.0,0.0,0.02857142857142857,0.02857142857142857
100,Implement tests for verifying allocator resource math.,8.0,0.7857142857142857,0.2,0.2
101,Add notion of evictable task to RunTaskMessage,2.0,0.7857142857142857,0.2,0.2
102,Add a flag to master to enable optimistic offers. ,3.0,0.7857142857142857,0.2,0.2
103,Test ContentTypeAndSSLConfig/SchedulerSSLTest.RunTaskAndTeardown/1 segfaults,2.0,0.7857142857142857,0.18571428571428572,0.18571428571428572
104,The test `DefaultExecutorTest.KillTaskGroupOnTaskFailure` is flaky,3.0,0.7142857142857143,0.07142857142857142,0.07142857142857142
105,"Consolidate 'foo', 'bar', ... string constants in test and example code",2.0,0.07142857142857142,0.05714285714285714,0.05714285714285714
106,Implement HTTP Docker Executor that uses the Executor Library,5.0,0.07142857142857142,0.2571428571428571,0.2571428571428571
107,Scheduler driver does not detect disconnection with master and reregister.,3.0,0.0,0.37142857142857144,0.37142857142857144
108,Higher level construct for expressing process dispatch,6.0,0.42857142857142855,0.15714285714285714,0.15714285714285714
109,bogus docker images result in bad error message to scheduler,2.0,0.5714285714285714,0.0,0.0
110,Mesos master rescinds all the in-flight offers from all the registered agents when a new maintenance schedule is posted for a subset of slaves,3.0,0.7857142857142857,0.0,0.0
111,Framework failover when framework is 'active' does not trigger allocation.,5.0,0.0,0.2857142857142857,0.2857142857142857
112,ProcessTest.Cache fails and hangs,5.0,0.0,0.02857142857142857,0.02857142857142857
113,Add validation behavior to FlagsBase,1.0,0.35714285714285715,0.014285714285714285,0.014285714285714285
114,GMock warning in DockerContainerizerTest.ROOT_DOCKER_DockerInspectDiscard,2.0,0.0,1.0,1.0
115,Add tests for HTTPS SSL socket communication,3.0,0.0,0.15714285714285714,0.15714285714285714
116,Behavior of custom HTTP authenticators with disabled HTTP authentication is inconsistent between master and agent,3.0,0.0,0.18571428571428572,0.18571428571428572
117,Slave should wait() and start executor registration timeout after launch ,3.0,0.0,0.04285714285714286,0.04285714285714286
118,"Request for ""stats.json"" cannot be fulfilled after stopping the framework ",5.0,0.0,0.4142857142857143,0.014285714285714285
119,Document the container environment variables semantics on mesos.,5.0,0.0,0.1,0.1
120,Design gRPC-based Mesos module interfaces.,13.0,0.0,0.4,0.4
121,Add more examples of JSON resources to docs,1.0,0.0,1.0,1.0
122,Propose a guideline for log messages,5.0,0.0,0.4142857142857143,0.38571428571428573
123,Add documentation for Appc image discovery.,3.0,0.0,0.15714285714285714,0.15714285714285714
124,Add documentation around using the docker containerizer on CentOS 6.,1.0,0.0,0.37142857142857144,0.37142857142857144
125,Document isolators from user perspective.,4.0,0.42857142857142855,0.15714285714285714,0.15714285714285714
126,Allow interactive terminal for mesos containerizer,10.0,0.0,0.15714285714285714,0.15714285714285714
127,Document which fields are ignored during framework reregistration,2.0,0.0,1.0,1.0
128,Document common use cases of authorization,1.0,0.0,1.0,1.0
129,Improve documentation for using persistent volumes. ,2.0,0.5714285714285714,0.07142857142857142,0.07142857142857142
130,Improve CHANGELOG and upgrades.md,3.0,0.5714285714285714,0.07142857142857142,0.07142857142857142
131,Add a __sockets__ diagnostic endpoint to libprocess.,3.0,0.0,0.37142857142857144,0.37142857142857144
132,Add example for mesos-execute usage of Appc images in container-image.md.,3.0,0.0,0.15714285714285714,0.15714285714285714
133,Document isolator internals.,4.0,0.42857142857142855,0.15714285714285714,0.15714285714285714
134,As a Developer I would like a standard way to run a Subprocess in libprocess,3.0,0.0,0.014285714285714285,0.014285714285714285
135,Provide the users with a fully writable filesystem,13.0,0.0,0.02857142857142857,0.02857142857142857
136,Add resource usage section to containerizer documentation,3.0,0.0,0.05714285714285714,0.05714285714285714
137,Specification for Executor and Task life cycles in Slave,5.0,0.0,0.1,0.1
138,Document how to start/run the agent in a systemd environment,1.0,0.0,0.0,0.0
139,Improve containerizer logging for isolator prepare/update/cleanup.,3.0,0.14285714285714285,0.4,0.4
140,Port flag generation logic from the autotools solution to CMake,3.0,0.7857142857142857,0.014285714285714285,0.014285714285714285
141,SSL Improvements,13.0,0.0,1.0,1.0
142,Windows: Curl requires zlib when built with SSL support on Windows,3.0,0.0,0.37142857142857144,0.37142857142857144
143,Consider modifying Process_BENCHMARK_ClientServer to compare socket performance on the new OpenSSL socket implementation,3.0,0.0,0.37142857142857144,0.37142857142857144
144,Update scheduler API documentation for re-reservations,2.0,0.0,0.18571428571428572,0.18571428571428572
145,End to end test of framework exercising re-reservations,3.0,0.0,0.18571428571428572,0.18571428571428572
146,Remove 'contains' CHECKS in 'update' in the 'Sorter' impls,3.0,0.0,0.18571428571428572,0.18571428571428572
147,Update 'internal::protobuf::stripAllocationInfo' for 'source' in RESERVE operations,1.0,0.0,0.18571428571428572,0.18571428571428572
148,Update 'injectAllocationInfo' to also update a reservation's 'source' field,1.0,0.0,0.18571428571428572,0.18571428571428572
149,Update master scheduler call validation for 'source' in RESERVE operations,1.0,0.0,0.18571428571428572,0.18571428571428572
150,Add GPUs to container resource consumption metrics.,3.0,0.0,0.08571428571428572,0.08571428571428572
151,Draft design document for resource revocability by default.,8.0,0.0,0.1,0.1
152,Add integration tests for quota,8.0,0.0,0.4142857142857143,0.38571428571428573
153,Tests for master failover in presence of quota.,5.0,0.0,0.4142857142857143,0.38571428571428573
154,Sequence all operations on the agent,5.0,0.0,1.0,1.0
155,Operation Feedback Improvements,13.0,0.0,1.0,1.0
156,Expose quota config in the GET_ROLES response.,1.0,0.0,0.2857142857142857,0.2857142857142857
157,Add AGENT_UPDATED event with drain state.,3.0,0.0,1.0,1.0
158,Support rdma cgroup subsystem.,8.0,0.0,0.1,0.1
159,Improve performance of metrics snapshot.,5.0,0.0,1.0,1.0
160,Migrate master metrics to PushGauge,8.0,0.0,1.0,1.0
161,Relax version compatibility requirement for some modules,5.0,0.42857142857142855,0.07142857142857142,0.07142857142857142
162,Cache module manifests while loading in ModuleManager.,3.0,0.0,0.07142857142857142,0.07142857142857142
163,Implement a JWT HTTP authenticatee module,3.0,0.0,1.0,1.0
164,Add the HttpAuthenticatee module interface,2.0,0.0,1.0,1.0
165,Add ACLs for the maintenance HTTP endpoints.,3.0,0.0,0.2857142857142857,0.2857142857142857
166,Reorganize 3rdparty directory,5.0,0.42857142857142855,0.07142857142857142,0.07142857142857142
167,Replace non-pod static variables in module/manager.[ch]pp with pod eqivalents.,3.0,0.0,0.07142857142857142,0.07142857142857142
168,Develop a sound plan on how to deal with disabled tests.,3.0,0.0,0.15714285714285714,0.15714285714285714
169,Add autotools-style Mesos distributions to the CMake build system,3.0,0.7857142857142857,0.014285714285714285,0.014285714285714285
170,Consider updating build system to allow executor authentication without SSL,3.0,0.0,1.0,1.0
171,Test profile checkpointing in SLRP,3.0,0.0,0.4,0.4
172,Test resource provider selection for URI disk profile adaptor.,2.0,0.0,0.4,0.4
173,Avoid two trips through the master mailbox for state.json requests.,5.0,0.0,0.4142857142857143,0.38571428571428573
174,Eliminate agent failover after resource checkpointing failure,3.0,1.0,0.08571428571428572,0.08571428571428572
175,Revisit the operation status de-duplication logic in the master,3.0,0.0,0.08571428571428572,0.08571428571428572
176,Recover frameworks from reregistered agents with operations,5.0,0.0,1.0,1.0
177,Support reservation refinement for hierarchical roles.,12.0,0.0,0.02857142857142857,0.02857142857142857
178,Provide a configuration option to disallow logrotate stdout/stderr options in task env,3.0,0.7857142857142857,0.2571428571428571,0.2571428571428571
179,Grant non-root task user the permissions to access the image volume,3.0,0.7142857142857143,0.07142857142857142,0.07142857142857142
180,Grant non-root task user the permissions to access the DOCKER_VOLUME volume,3.0,0.7142857142857143,0.07142857142857142,0.07142857142857142
181,Set `SCMP_FLTATR_CTL_LOG` attribute during initialization of Seccomp context,3.0,0.0,0.05714285714285714,0.05714285714285714
182,Tests for allocator recovery.,5.0,0.5714285714285714,0.4142857142857143,0.38571428571428573
183,Run benchmark tests in ASF CI,2.0,0.14285714285714285,0.2571428571428571,0.2571428571428571
184,Make Docker executor/containerizer resilient to Docker daemon failures.,13.0,1.0,1.0,1.0
185,Create Design Doc for Manage offers in allocator,5.0,0.7857142857142857,0.0,0.0
186,Implement AppC image discovery.,5.0,0.0,0.02857142857142857,0.02857142857142857
187,"Simplify JSON::* by providing ""jsonify"" along the lines of ""stringify""",3.0,0.42857142857142855,0.07142857142857142,0.07142857142857142
188,Implement partition tests for the HTTP Scheduler API.,5.0,0.35714285714285715,0.15714285714285714,0.15714285714285714
189,Design document for interactive terminal for mesos containerizer,4.0,0.0,0.15714285714285714,0.15714285714285714
190,Add cgroups memory stats API,2.0,0.0,0.15714285714285714,0.15714285714285714
191,Rework Jenkins build script,3.0,0.21428571428571427,0.2,0.2
192,Modularize URI fetcher plugin interface.  ,3.0,0.07142857142857142,0.02857142857142857,0.02857142857142857
193,Add appc/runtime isolator for runtime isolation for appc images.,13.0,0.07142857142857142,0.02857142857142857,0.02857142857142857
194,Make all SLRP tests become non-root tests.,2.0,0.0,0.4,0.4
195,Support v1 Executor API over gRPC.,8.0,0.0,0.4,0.4
196,Support gRPC server streaming calls in libprocess.,5.0,0.0,0.4,0.4
197,Support v1 Operator Master synchronous API over gRPC.,8.0,0.0,0.4,0.4
198,Support v1 Operator Master streaming API over gRPC.,8.0,0.0,0.4,0.4
199,Support v1 Operator Agent synchronous API over gRPC.,8.0,0.0,0.4,0.4
200,Design gRPC server and streaming support in libprocess.,8.0,0.0,0.4,0.4
201,Support gRPC server for unary calls in libprocess.,5.0,0.0,0.4,0.4
202,Support v1 Scheduler API over gRPC.,8.0,0.0,0.4,0.4
203,Metrics Improvements,13.0,0.0,1.0,1.0
204,Expose more network statistics for containers on CNI network in the `network/cni` isolator.,5.0,0.0,0.0,0.0
205,Build `network/cni` isolator with `libnl` support,3.0,0.07142857142857142,0.05714285714285714,0.05714285714285714
206,Benchmark tests to reproduce quota limit chopping behavior,8.0,0.42857142857142855,0.2571428571428571,0.2571428571428571
207,Add global and per-framework metrics for invalid and unauthorized operations,2.0,0.0,1.0,1.0
208,Add recommended accept/decline/suppress/revive behavior to scheduler docs,2.0,0.21428571428571427,1.0,1.0
209,Add allocator counter metric for number of different resource types allocated,3.0,1.0,0.2571428571428571,0.2571428571428571
210,Preparation for v2 API: v1 Tech Debt,13.0,0.0,1.0,1.0
211,"Pull the current ""init"" process for a container out of the container.",3.0,0.0,0.08571428571428572,0.08571428571428572
212,Remove deprecated checkpoint=false code,3.0,0.5714285714285714,0.014285714285714285,0.04285714285714286
213,Support static address allocation in CNI,1.0,0.21428571428571427,0.05714285714285714,0.05714285714285714
214,Add filtering capabilities to the master/agent operator APIs,13.0,0.07142857142857142,1.0,1.0
215,Implement Secret support for environment variables,5.0,0.42857142857142855,1.0,1.0
216,Add URI parsing function/library,2.0,0.0,0.37142857142857144,0.37142857142857144
217,"Extend the uri::Fetcher::Plugin interface to include a ""fetchSize""",2.0,0.0,0.37142857142857144,0.37142857142857144
218,Combine the internal::slave::Fetcher class and mesos-fetcher binary,3.0,0.0,0.37142857142857144,0.37142857142857144
219,Refactor the mesos-fetcher binary to use the uri::Fetcher as a backend,3.0,0.0,0.37142857142857144,0.37142857142857144
220,Add s390x builds to Mesos CI,3.0,0.07142857142857142,0.0,0.0
221,Add the `OnTerminationPolicy` to the TaskInfo protobuf.,3.0,0.35714285714285715,0.15714285714285714,0.15714285714285714
222,Add OnTerminationPolicy handling to the default executor.,3.0,0.35714285714285715,0.15714285714285714,0.15714285714285714
223,Remove hard-coded principals in `PersistentVolumeEndpointsTest.SlavesEndpointFullResources`,1.0,0.0,1.0,1.0
224,Allow `network/cni` isolator unit-tests to run with CNI plugins ,1.0,0.21428571428571427,0.05714285714285714,0.05714285714285714
225,Rate Limiting functionality for HTTP Frameworks,5.0,0.0,0.15714285714285714,0.15714285714285714
226,Add safety constraints for maintenance primitives.,8.0,0.0,0.2857142857142857,0.2857142857142857
227,Add master metrics for maintenance.,3.0,0.07142857142857142,0.2857142857142857,0.2857142857142857
228,"Decline call does not include an optional ""reason"", in the Event/Call API",3.0,0.7857142857142857,0.37142857142857144,0.37142857142857144
229,Remove the default value for 'Environment.variables.type' field,1.0,0.0,1.0,1.0
230,Pass the forked pid from `containerizer launch` to the agent and checkpoint it.,2.0,0.07142857142857142,0.08571428571428572,0.08571428571428572
231,Implement authn/authz for the network/cni isolator,3.0,0.21428571428571427,0.05714285714285714,0.05714285714285714
232,Update tests to use v1 Operator API,8.0,0.0,0.2571428571428571,0.2571428571428571
233,Reduce the running time of benchmark tests.,2.0,0.0,0.2571428571428571,0.2571428571428571
234,Design doc for adding resource limits support for Mesos containerizer,3.0,0.42857142857142855,0.15714285714285714,0.15714285714285714
235,Support static IP address allocation with `DockerContainerizer`,1.0,0.0,0.05714285714285714,0.05714285714285714
236,Add support for controlling resource limits in Mesos containerizer.,5.0,0.42857142857142855,0.15714285714285714,0.15714285714285714
237,Remove '/system/stats.json' endpoint,1.0,0.0,1.0,1.0
238,Problematic fork/clone performance at high load.,8.0,0.5714285714285714,0.07142857142857142,0.07142857142857142
239,Allow modules to express if they are multi-instantiable and thread safe.,8.0,0.0,0.07142857142857142,0.07142857142857142
240,Enable Executor->Framework message optimization for HTTP API,13.0,0.0,0.15714285714285714,0.15714285714285714
241,Slave should kill usage slack revocable tasks if oversubscription is disabled,3.0,0.07142857142857142,0.2571428571428571,0.2571428571428571
242,Enable Framework->Executor message optimization for HTTP API,13.0,0.0,0.15714285714285714,0.15714285714285714
243,Slave should validate tasks using oversubscribed resources,5.0,0.7857142857142857,0.2571428571428571,0.2571428571428571
244,Add a benchmark for task reconciliation.,1.0,0.0,0.2857142857142857,0.2857142857142857
245,Add Socket tests,5.0,0.0,0.05714285714285714,0.05714285714285714
246,Add memory statistics tests.,5.0,0.14285714285714285,0.014285714285714285,0.014285714285714285
247,Proper handling of 'query' and/or 'fragment' out of 'path' in http handler.,1.0,0.0,0.07142857142857142,0.07142857142857142
248,Update bundled libevent to 2.1.8 for autotools builds - or unbundle it.,1.0,0.0,0.15714285714285714,0.15714285714285714
249,Add a timeout on SSL listening sockets for sockets that never complete handshaking,2.0,0.0,0.37142857142857144,0.37142857142857144
250,Add a unit test for client-initiated SSL renegotiation,2.0,0.0,0.37142857142857144,0.37142857142857144
251,Refactor Environment::mkdtemp into TemporaryDirectoryTest.,3.0,0.0,0.37142857142857144,0.37142857142857144
252,"Document how containerization works in terms of entering namespaces / setting up cgroups, etc.",5.0,0.0,0.08571428571428572,0.08571428571428572
253,Move HTB out of containers,3.0,0.0,0.014285714285714285,0.014285714285714285
254,The /logging/toggle endpoint accepts requests with any http method,3.0,0.0,0.014285714285714285,0.04285714285714286
255,Rewrite perf events code,5.0,0.14285714285714285,0.014285714285714285,0.014285714285714285
256,Add const accessor to Master flags,2.0,0.14285714285714285,0.37142857142857144,0.37142857142857144
257,Add /master/slaves and /master/frameworks/{framework}/tasks/{task} endpoints,5.0,0.0,0.05714285714285714,0.05714285714285714
258,Handle plugin crashes gracefully in SLRP recovery.,5.0,0.0,0.4,0.4
259,Benchmark call ingestion path on the Mesos master.,3.0,0.35714285714285715,0.15714285714285714,0.15714285714285714
260,Command executor can overcommit the agent.,3.0,0.0,0.2857142857142857,0.2857142857142857
261,JSON serialization should not omit empty arrays in HTTP APIs,3.0,0.21428571428571427,0.02857142857142857,0.02857142857142857
262,Handle SSL socket read and write events separately,2.0,0.0,1.0,1.0
263,Deprecate framework sorter.,8.0,0.0,0.2,0.2
264,Dedicate sorter for roles.,5.0,0.0,0.2,0.2
265,Improve metrics around active subscribers.,3.0,0.0,0.4142857142857143,0.38571428571428573
266,Expose recovery parameters from Hierarchical allocator,3.0,0.0,0.4142857142857143,0.38571428571428573
267,Refactor allocator recovery.,3.0,0.0,0.4142857142857143,0.38571428571428573
268,Establish a well-defined agent state diagram,8.0,0.0,1.0,1.0
269,Disallow executors with cpu only or memory only resources,3.0,0.0,0.2571428571428571,0.2571428571428571
270,Update SUPPRESS/REVIVE calls to return error codes / 200 OK.,3.0,0.0,0.2857142857142857,0.2857142857142857
271,URI stringification constructs malformed URIs.,3.0,0.21428571428571427,0.014285714285714285,0.014285714285714285
272,Make remaining quota to offer event-driven in the allocator.,3.0,0.6428571428571429,0.2,0.2
273,Pass FrameworkInfo to agents when applying operations,3.0,1.0,0.18571428571428572,0.18571428571428572
274,Store a role tree in the master.,8.0,0.0,0.2857142857142857,0.2857142857142857
275,Expose inactive resource providers through the `GET_RESOURCE_PROVIDERS` agent call.,2.0,0.0,0.4,0.4
276,Master's /state-summary and /state spends a lot of time coalescing ranges.,5.0,0.0,0.2857142857142857,0.2857142857142857
277,Perform incremental sorting in the random sorter.,3.0,0.6428571428571429,0.2,0.2
278,Refactor the sorter interface to enable lazy sorting.,3.0,0.6428571428571429,0.2,0.2
279,Encode framework-specified operation ID into CSI volume name.,1.0,0.0,0.4,0.4
280,Validate that container paths are unique in `ContainerInfo.volumes`.,2.0,0.0,0.4,0.4
281,CommandInfo.user not honored in docker containerizer,3.0,0.0,0.0,0.0
282,Use composing containerizer by default in tests.,8.0,0.0,0.4142857142857143,0.38571428571428573
283,"XXXX_HTTP_CALL macros do not work, tests are disabled",8.0,0.0,1.0,1.0
284,Document using the gold linker for faster development on linux.,3.0,0.0,0.2857142857142857,0.2857142857142857
285,Update endpoint handlers to use 'ObjectApprover',3.0,0.0,1.0,1.0
286,Authorization for DESTROY and UNRESERVE is not symmetrical.,5.0,0.0,0.4142857142857143,0.38571428571428573
287,`GET_EXECUTORS` and `/state` is not consistent between master and agent,3.0,0.0,0.02857142857142857,0.02857142857142857
