,Summary,Custom field (Story Points),Assignee_count,Reporter_count,Creator_count
43,Preliminaries for LSST vs HSC pipeline comparison through coadd processing,1.0,0.29284903518728717,1.0,1.0
44,Allow slurm to request total CPUs rather than nodes*processors.,2.0,0.16572077185017026,1.0,1.0
45,Fix logic for applying aperture corrections,6.0,0.29284903518728717,0.2078754578754579,0.2078754578754579
46,Implement brighter-fatter correction,4.0,0.07491486946651532,1.0,1.0
47,Fix overlapping validity range for calibs,0.1,0.16572077185017026,1.0,1.0
48,High-level overview of DRP processing,6.0,0.8286038592508513,0.9807692307692307,0.9807692307692307
49,Add sky objects,4.0,0.07491486946651532,1.0,1.0
50,Use high S/N band as reference for multiband forced photometry,1.0,0.07491486946651532,1.0,1.0
51,Don't write HeavyFootprints in forced photometry,0.5,0.3348467650397276,1.0,1.0
52,MeasureMergedCoaddSourcesTask: do not initialize astrometry unless we need it,0.1,0.3348467650397276,1.0,1.0
53,Make it possible to run MeasureMergedCoaddSourcesTask without propagating flags,0.2,0.3348467650397276,1.0,1.0
54,Revert changes to variance in deblending,0.1,0.7582292849035187,1.0,1.0
55,MeasureMergedCoaddSourcesTask should not derive a new astrometric solution,0.25,0.3348467650397276,1.0,1.0
56,Add new blendedness metric,3.0,0.07491486946651532,1.0,1.0
57,Measure photometric repeatability and correctness of reported errors,5.0,0.11577752553916004,0.09615384615384616,0.09615384615384616
58,LDM-151 - comments from Jacek,1.0,0.7582292849035187,0.010073260073260074,0.5815018315018315
59,Factor out duplicate setIsPrimaryFlag from MeasureMergedCoaddSourcesTask and ProcessCoaddTask,2.0,0.07491486946651532,1.0,1.0
60,XY Plot action and reducers,6.0,0.21112372304199772,0.12545787545787546,0.12545787545787546
61,Implement zenodio.metadata to mediate Zenodo's API with local YAML metadata,2.0,0.9125993189557321,0.6565934065934066,0.6538461538461539
62,Add __setitem__ for columns in afw.table,2.0,0.8286038592508513,0.9807692307692307,0.9807692307692307
63,Replace killproc and pidofproc with kill and pidof,1.0,0.0,0.9459706959706959,0.5815018315018315
64,imagesDiffer doesn't handle overflow for unsigned integers,1.0,1.0,0.9807692307692307,0.9807692307692307
65,"Please provide ""getting started"" documentation on writing meas_base algorithms",4.0,0.0,1.0,1.0
66,Add point selection,2.0,0.27809307604994327,0.2490842490842491,0.2490842490842491
67,F17 Webserv Improvements,18.0,0.0,0.9459706959706959,0.5815018315018315
68,Setup webserv for SUI,10.0,0.0,0.9459706959706959,0.5815018315018315
69,Port HSC background matching routines,4.0,0.0,0.20238095238095238,0.20238095238095238
70,Filter mask planes propagated to coadds,2.0,0.3348467650397276,1.0,1.0
71,scisql build scripts are buggy ,2.0,0.049943246311010214,0.027472527472527472,0.027472527472527472
72,Setup LSST stack for verification datasets work,10.0,0.7298524404086265,0.5576923076923077,0.5576923076923077
73,Installing a reference catalog to use in bulge survey processing,5.0,0.7298524404086265,0.5576923076923077,0.5576923076923077
74,Setup orchestration environment at lsstdev for bulge survey processing,10.0,0.7298524404086265,0.5576923076923077,0.5576923076923077
75,Debugging lsst.astrometry task in bulge survey processing,10.0,0.7298524404086265,0.5576923076923077,0.5576923076923077
76,Setup firefly example for image visualization ,10.0,0.7298524404086265,0.5576923076923077,0.5576923076923077
77,Test the matchOptimisticB astrometric matcher,3.0,0.0,0.013736263736263736,0.013736263736263736
78,Write a firefly search processor that retrieves image paths from the butler,5.0,0.7298524404086265,0.5576923076923077,0.5576923076923077
79,Give base an updated readme file,1.0,0.11010215664018161,0.5009157509157509,0.5009157509157509
80,Compile list of DM simulation needs for Andy Connolly,3.0,0.0,0.013736263736263736,0.013736263736263736
81,Diagnostic plot showing the number of process ccd failures in each visit as function of the density of sources.,5.0,0.7298524404086265,0.5576923076923077,0.5576923076923077
82,Propagate flags from individual visit measurements to coadd measurements,2.0,0.16572077185017026,1.0,1.0
83,Make coadd input catalogs contiguous,0.5,0.0,1.0,1.0
84,Make JIRA notification e-mail more useful,1.0,0.18047673098751418,0.08241758241758242,0.08333333333333333
85,Test capabilities of python bokeh plotting library for making interactive plots - I,20.0,0.7298524404086265,0.5576923076923077,0.5576923076923077
86,Check that image and mask have the same size when computing statistics,0.25,0.7582292849035187,1.0,1.0
87,base_Variance plugin generates errors in lsst_dm_stack_demo,2.0,0.7582292849035187,1.0,1.0
88,F17 Qserv Integration Test Improvements,10.0,0.4733257661748014,0.9459706959706959,0.5815018315018315
89,Improve/simplify multi-worker tests,5.0,0.4733257661748014,0.9459706959706959,0.5815018315018315
90,Script launch of HTCondor pool on Nebula OpenStack,24.0,0.17480136208853575,0.09065934065934066,0.09065934065934066
91,Refactor measurement afterburners into a new plugin system,8.0,0.3348467650397276,0.9807692307692307,0.9807692307692307
92,Update git-lfs documentation to work with git-lfs 1.1.0+,2.5,0.13393870601589103,0.09706959706959707,0.09706959706959707
93,Update git-lfs repositories to point to the git-lfs documentation.,1.0,0.13393870601589103,0.09706959706959707,0.09706959706959707
94,Take DECam data with collimated beam projector,30.0,0.34506242905788875,1.0,1.0
95,Write tutorial describing remote IPython + ds9 on lsst-dev,2.0,0.34506242905788875,1.0,1.0
96,Ingest DECam/CBP data into LSST stack,3.0,0.7582292849035187,1.0,1.0
97,Prepare calibration products for analysing DECam data,3.0,0.34506242905788875,1.0,1.0
98,Qualitative exploration of the CBP/DECam data,8.0,0.34506242905788875,1.0,1.0
99,Implement the simulation and testing framework for analyzing image differencing,50.0,0.38819523269012485,0.44047619047619047,0.4413919413919414
100,Implement simulations for testing image differencing.,15.0,0.40408626560726446,0.44047619047619047,0.4413919413919414
101,Generate Doxygen XML output via sconsUtils,0.1,0.9125993189557321,0.6565934065934066,0.6538461538461539
102,Use yaml configuration files to store camera-specific data ID and ref image information for validation testing.,1.0,0.11577752553916004,0.09615384615384616,0.09615384615384616
103,"Expand button hide/show, delete button hide/show, display title options,",4.0,0.27809307604994327,0.2490842490842491,0.2490842490842491
104,Buffer overrun in wcslib causes stack corruption,2.0,0.7582292849035187,0.020146520146520148,0.020146520146520148
105,Investigate astrometry warnings from processing raw DECam data,12.0,0.49375709421112374,0.43956043956043955,0.43864468864468864
106,Cyber security infrastructure requirements,2.0,0.07264472190692395,0.055860805860805864,0.055860805860805864
107,Security plan renewal,0.75,0.07264472190692395,0.055860805860805864,0.055860805860805864
108,DM security meeting,0.75,0.07264472190692395,0.055860805860805864,0.055860805860805864
109,PO security meeting,0.25,0.07264472190692395,0.055860805860805864,0.055860805860805864
110,LSST IaM meetings at NCSA,0.5,0.07264472190692395,0.055860805860805864,0.055860805860805864
111,LSST IaM bi-weekly coordinating meeting,0.5,0.07264472190692395,0.055860805860805864,0.055860805860805864
112,Add option for object name resolution,6.0,0.0340522133938706,0.4468864468864469,0.4441391941391941
113,Test obs_decam with processed data,3.0,0.49375709421112374,0.43956043956043955,0.43864468864468864
114,Porting encodeURL of the java FitsDownlaodDialog code to javascript ,2.0,0.10556186152099886,0.047619047619047616,0.04945054945054945
115,rename anaconda package -> lsst-dm/legacy-anaconda,0.125,0.5550510783200908,0.4065934065934066,0.4065934065934066
116,Test performance of vertical-partition joins in mysql,4.0,0.032917139614074914,0.9459706959706959,0.5815018315018315
117,Support Multi image fits and controls,4.0,0.27809307604994327,0.2490842490842491,0.2490842490842491
118,Make obs_subaru build with OS X SIP,0.5,0.9897843359818388,0.20238095238095238,0.20238095238095238
119,want to see locations in trace when butler raises because multiple locations were found,1.0,0.0,0.26373626373626374,0.2619047619047619
120,"Make FlagHandler, SafeCentroidExtractor usable from Python",2.0,0.0,1.0,1.0
121,Centroids fall outside Footprints,8.0,0.14982973893303064,1.0,1.0
122,Fix intermittent testQdisp failure,1.0,0.19182746878547105,0.09432234432234432,0.09432234432234432
123,Fix build of MariaDB on OS X El Capitan,1.0,0.9897843359818388,0.7976190476190477,0.7994505494505495
124,Deploy 4 bare metal hosts for testing Base to Archive transfer implementation,4.0,0.3166855845629966,0.037545787545787544,0.037545787545787544
125,Qserv build fails on El Capitan with missing OpenSSL,2.0,0.9897843359818388,0.7976190476190477,0.7994505494505495
126,Track kernel panic issue,3.0,0.4177071509648127,0.3543956043956044,0.3543956043956044
127,Create a utility function do do spherical geometry averaging,1.0,0.16572077185017026,0.09615384615384616,0.09615384615384616
128,on-going support to Camera team in visualization at UIUC,2.0,0.21112372304199772,0.4468864468864469,0.4441391941391941
129,Enable validateMatches in ci_hsc,2.0,0.29284903518728717,1.0,1.0
130,multiple CVEs relevant to mariadb 10.1.9 and mysql,0.5,0.5550510783200908,0.4065934065934066,0.4065934065934066
131,Update scisql to v0.3.5,0.5,0.4177071509648127,0.7976190476190477,0.7994505494505495
132,IRSA developer mentoring effort,2.0,0.2383654937570942,0.4468864468864469,0.4441391941391941
133,IRSA developer mentoring effort,2.0,0.27809307604994327,0.4468864468864469,0.4441391941391941
134,Fix type inference and return types makeMaskedImage et al,1.0,0.0,0.9807692307692307,0.9807692307692307
135,Switch to MemManReal in the worker scheduler,15.0,0.19182746878547105,0.09432234432234432,0.09432234432234432
136,butler should transparently allow files to be compressed or not,6.0,0.0,0.26373626373626374,0.2619047619047619
137,Schemas for QA information,10.0,0.7298524404086265,0.3031135531135531,0.304029304029304
138,afw Wcs object copying does not copy exactly,6.0,0.3348467650397276,0.20238095238095238,0.20238095238095238
139,Please improve the documentation for TransformTask and derivatives,2.0,0.7582292849035187,1.0,1.0
140,Improve MySQL proxy code and add unit tests,4.0,0.5743473325766175,0.040293040293040296,0.039377289377289376
141,Build Base DMCS Archiver Command Receiver,6.0,0.4188422247446084,0.23443223443223443,0.21245421245421245
142,Build MVP of ltd-keeper web app covering ltd-mason interface,13.5,0.9125993189557321,0.6565934065934066,0.6538461538461539
143,Add S3/Route53 project provisioning capabilities to ltd-keeper,2.5,0.9125993189557321,0.6565934065934066,0.6538461538461539
144,delegate argument parsing to CmdLineTask instances,2.0,1.0,0.9807692307692307,0.9807692307692307
145,Please eliminate misleading warning when running scons on OSX with SIP,0.25,0.11577752553916004,1.0,1.0
146,Update pyfits,1.0,0.9897843359818388,0.7976190476190477,0.7994505494505495
147,Adapt SRD-based measurements of astrometric performance for validate_drp,4.0,0.11577752553916004,0.09615384615384616,0.09615384615384616
148,Generate JSON output from validate_drp for inclusion in a test harness,2.0,0.11577752553916004,0.09615384615384616,0.09615384615384616
149,Hard copy support- saving regions,10.0,0.15664018161180476,0.2490842490842491,0.2490842490842491
150,ci_hsc fails to execute tasks from with SCons on OSX 10.11/SIP,0.5,0.7582292849035187,1.0,1.0
151,LSST vs. HSC stack comparison: PSF estimation,5.0,0.07491486946651532,0.2078754578754579,0.2078754578754579
152,Obs_Subaru camera mapper has wrong deep_assembleCoadd_config,0.5,0.3348467650397276,0.20238095238095238,0.20238095238095238
153,January Operation Support Related Tasks,3.0,0.2122587968217934,0.13003663003663005,0.13003663003663005
154,Investigate Roger as fallover for Nebula,2.0,0.2122587968217934,0.13003663003663005,0.13003663003663005
155,January AAA Tasks,1.0,0.2122587968217934,0.13003663003663005,0.13003663003663005
156,January Tasks,4.0,0.2122587968217934,0.13003663003663005,0.13003663003663005
157,January Tasks,15.0,0.2122587968217934,0.13003663003663005,0.13003663003663005
158,January Tasks,1.0,0.2122587968217934,0.13003663003663005,0.13003663003663005
159,Jason January Tasks,4.0,0.2122587968217934,0.13003663003663005,0.13003663003663005
160,DM Power Requirements,1.5,0.2122587968217934,0.13003663003663005,0.13003663003663005
161,"Investigate logging, monitoring and metrics technologies and architecture",24.0,0.13393870601589103,0.09706959706959707,0.09706959706959707
162,"Meetings, Jan 2016",2.0,0.49375709421112374,0.43956043956043955,0.43864468864468864
163,"LOE, Jan 2016",1.5,0.49375709421112374,0.43956043956043955,0.43864468864468864
164,Reconsider high detection threshold in CharacterizeImageTask,8.0,0.0,0.9807692307692307,0.9807692307692307
165,conda git-lfs package,0.25,0.5550510783200908,0.4065934065934066,0.4065934065934066
166,upstream patches/deps from conda-lsst,3.0,0.5550510783200908,0.4065934065934066,0.4065934065934066
167,Finish data distribution prototype (March),3.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
168,Prepare for auth session at JTM,5.0,0.014755959137343927,0.013736263736263736,0.013736263736263736
169,Save algorithm metadata in multiband.py,3.0,0.04767309875141884,0.9807692307692307,0.9807692307692307
170,work flow of light curve visulizaiton,4.0,0.0170261066969353,0.4468864468864469,0.4441391941391941
171,review of dependency on the third party packages,2.0,0.24971623155505107,0.4468864468864469,0.4441391941391941
172,Design single-sign-on authentication system for webserv,6.0,0.0,0.9459706959706959,0.5815018315018315
173,Extend webserv API to pass security tokens,8.0,0.12145289443813848,0.9459706959706959,0.5815018315018315
174,Update validate_drp for El Capitan,1.0,1.0,0.8232600732600732,0.8232600732600732
175,Benchmark dipole measurement (dipole fitting),8.0,0.09194097616345062,0.0695970695970696,0.0695970695970696
176,Fix rotation for isr in obs_subaru,2.0,0.29284903518728717,0.2078754578754579,0.2078754578754579
177,Implement new dipole fitting algorithm as SimpleAlgorithm,14.0,0.09194097616345062,0.0695970695970696,0.0695970695970696
178,Make ci_hsc resumable,2.0,0.3348467650397276,0.20238095238095238,0.20238095238095238
179,Please trim config overrides in validate_drp,0.5,1.0,0.8232600732600732,0.8232600732600732
180,remove REUSE_DATAREPO in testCoadds in pipe_tasks,1.0,1.0,0.26373626373626374,0.2619047619047619
181,F16 Data Access Model Refresh,33.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
182,Resolve development issues by testing using WAN Emulator,5.0,0.19977298524404086,0.14652014652014653,0.14652014652014653
183,Continued WBS planning,10.0,0.19977298524404086,0.14652014652014653,0.14652014652014653
184,Convert Confluence DM Developer Guide to Sphinx (hack day) ,5.0,0.9125993189557321,0.6565934065934066,0.6538461538461539
185,Set doRenorm default to False in AssembleCcdTask,1.0,1.0,0.8232600732600732,0.8232600732600732
186,Optionally report do-nothing config overrides,4.0,0.0,0.9807692307692307,0.9807692307692307
187,No way to ask Jenkins CI to build all top level products,0.125,0.5550510783200908,0.7976190476190477,0.7994505494505495
188,Make validate_drp examples/runDecamTest.sh take ,0.1,0.11577752553916004,0.8232600732600732,0.8232600732600732
189,Modernize version check scripts in matplotlib and numpy packages,0.5,0.9897843359818388,0.7976190476190477,0.7994505494505495
190,FITS Visualizer porting: Expanded mode single - part 2,4.0,0.27809307604994327,0.2490842490842491,0.2490842490842491
191,Build Base DMCS Catch-Up Archiver Command Receiver,6.0,0.4188422247446084,0.23443223443223443,0.21245421245421245
192,Update ci_hsc and testdata_subaru to use both .gitconfig and .lfsconfig,0.1,0.7582292849035187,1.0,1.0
193,Modernize python code in Qserv scons package,0.5,0.9897843359818388,0.7976190476190477,0.7994505494505495
194,"Adds, Moves, Change support for DNS, network, IP addressing, etc",6.0,0.05221339387060159,0.037545787545787544,0.037545787545787544
195,"define rack, pdu specifications and obtain pricing quotes",3.0,0.05221339387060159,0.037545787545787544,0.037545787545787544
196,Base site and summit RFP,10.0,0.05221339387060159,0.037545787545787544,0.037545787545787544
197,Fix dependencies for eups-packaged sqlalchemy,1.0,0.5743473325766175,0.23809523809523808,0.23626373626373626
198,eval NCSA vSphere/OSX support -- first attempt,1.0,0.5550510783200908,0.4065934065934066,0.4065934065934066
199,Design interconnect for GPFS cluster prototype,4.0,0.05221339387060159,0.037545787545787544,0.037545787545787544
200,Create physical and logical network diagrams for first phase of purchases,6.0,0.05221339387060159,0.037545787545787544,0.037545787545787544
201,Build Base DMCS EFD Replicator Command Receiver,6.0,0.4188422247446084,0.23443223443223443,0.21245421245421245
202,Tests fail on Qserv on OS X El Capitan because of SIP,2.0,0.9897843359818388,0.7976190476190477,0.7994505494505495
203,X16 Data Access and Database Documentation,73.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
204,DAX & DB Docs (Fritz),3.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
205,DAX & DB Docs (John),10.0,0.19182746878547105,0.9459706959706959,0.5815018315018315
206,DAX & DB Docs (AndyS),5.0,0.4733257661748014,0.9459706959706959,0.5815018315018315
207,DAX & DB Docs (Nate),8.0,0.337116912599319,0.9459706959706959,0.5815018315018315
208,DAX & DB Docs (Brian),10.0,0.12145289443813848,0.9459706959706959,0.5815018315018315
209,Build Base DMCS Alert Production Cluster Command Receiver,6.0,0.4188422247446084,0.23443223443223443,0.21245421245421245
210,DAX & DB Docs (Mike),5.0,0.0,0.9459706959706959,0.5815018315018315
211,DAX & DB Docs (Serge),6.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
212,"update ""newinstall.sh"" nebula images & docker containers",6.0,0.5550510783200908,0.4065934065934066,0.4065934065934066
213,improve initialization of kvMap in testQueryAnalysis,1.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
214,SingleFrameVariancePlugin takes variance of entire image,1.0,0.16572077185017026,0.13278388278388278,0.13278388278388278
215,Design replacement for A.net index files,2.0,0.0,0.44047619047619047,0.4413919413919414
216,Some small things slipped through in winter 2016,30.0,0.38819523269012485,0.44047619047619047,0.4413919413919414
217,Implement Approx/Interp improvements,30.0,0.0,0.44047619047619047,0.4413919413919414
218,Assess priority of Aprox/Interp upgrades.,4.0,0.38819523269012485,0.44047619047619047,0.4413919413919414
219,RFC corrections for ISR.,9.0,0.38819523269012485,0.44047619047619047,0.4413919413919414
220,Assess the corrections that need to be imlemented,4.0,0.38819523269012485,0.44047619047619047,0.4413919413919414
221,Improve and implement crosstalk in ISR,10.0,0.38819523269012485,0.44047619047619047,0.4413919413919414
222,Design the refactoring for ProcessCcd,12.0,0.0,0.44047619047619047,0.4413919413919414
223,improve generating kvMap in testFacade.cc,1.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
224,Page with links to DM documents and code resources for Developer Guide,0.3,0.9125993189557321,0.6565934065934066,0.6538461538461539
225,Week end 1/09/16,1.25,0.3166855845629966,0.3076923076923077,0.3067765567765568
226,Week end 1/16/16,1.5,0.3166855845629966,0.3076923076923077,0.3067765567765568
227,Week end 1/23/16,1.75,0.3166855845629966,0.3076923076923077,0.3067765567765568
228,Week end 1/30/16,2.0,0.3166855845629966,0.3076923076923077,0.3067765567765568
229,New equipment setup and configuration (week end 1/23/16),1.5,0.3166855845629966,0.3076923076923077,0.3067765567765568
230,New equipment setup and configuration (week end 1/30/16),2.5,0.3166855845629966,0.3076923076923077,0.3067765567765568
231,Decommissioning old equipment (week end 1/16/16),2.0,0.02383654937570942,0.3076923076923077,0.3067765567765568
232,Decommissioning old equipment (week end 1/23/16),0.75,0.02383654937570942,0.3076923076923077,0.3067765567765568
233,Meeting with AMD,0.25,0.3166855845629966,0.3076923076923077,0.3067765567765568
234,Lenovo test server,3.0,0.02383654937570942,0.3076923076923077,0.3067765567765568
235,PcaPsf can hit an assertion failure,1.0,0.0,0.13278388278388278,0.13278388278388278
236,Operations planning ,15.0,0.15891032917139614,0.07051282051282051,0.07051282051282051
237,shorten internal names in zookeeper,2.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
238,January Management ,15.0,0.15891032917139614,0.07051282051282051,0.07051282051282051
239,Add mask plane to indicate no brighter fatter correction around edges ,6.0,0.20998864926220204,0.027472527472527472,0.027472527472527472
240,Implement code to generate kernel for brighter fatter correction.,10.0,0.34506242905788875,0.027472527472527472,0.027472527472527472
241,PropagateVisitFlags doesn't work with other pipeline components,1.0,0.8286038592508513,0.9807692307692307,0.9807692307692307
242,"Please add a package that includes obs_decam, obs_cfht and all validation_data datasets",0.5,0.11577752553916004,0.8232600732600732,0.8232600732600732
243,Enable aperture correction on coadd processing,0.5,0.8286038592508513,0.9807692307692307,0.9807692307692307
244,"Add auto play,select which dialog, close button working,  to expanded mode",4.0,0.27809307604994327,0.2490842490842491,0.2490842490842491
245,Add task discovery on command line activator,4.0,0.15096481271282633,0.09065934065934066,0.09065934065934066
246,"rename ""dbGroup"" to ""storageClass"" in CSS metadata",1.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
247,Investigate alternative for networkx before RFC,4.0,0.15096481271282633,0.09065934065934066,0.09065934065934066
248,LDM documentation of butler basics & multiple repositories,2.0,0.337116912599319,0.26373626373626374,0.2619047619047619
249,Security plan renewal,3.0,0.07264472190692395,0.055860805860805864,0.055860805860805864
250,HSC backport: Set BAD mask for dead amps instead of SAT,3.0,0.29284903518728717,0.2078754578754579,0.2078754578754579
251,Redirect confluence based pages to new developer guide.,0.5,0.9125993189557321,0.6565934065934066,0.6538461538461539
252,Make validateDrp a Task.,2.0,0.11577752553916004,0.09615384615384616,0.09615384615384616
253,Update validate_drp to use TransformTask to store calibrated measurements,2.0,0.11577752553916004,0.09615384615384616,0.09615384615384616
254,Add tests to validate_drp to verify SRD calculations and utility function behavior,4.0,0.38819523269012485,0.09615384615384616,0.09615384615384616
255,Polish IN2P3 cluster upgrade to CentOS7,4.0,0.4177071509648127,0.3543956043956044,0.3543956043956044
256,Tweak metadata structure for driving table and secondary index,2.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
257,Docs for ltd-keeper,1.0,0.9125993189557321,0.6565934065934066,0.6538461538461539
258,"Fix --id examples in processCcd.py and friends to correctly show ""ccd=1^2"".",1.0,1.0,0.09615384615384616,0.09615384615384616
259,Rewrite integration test queries with spatial constraint returning empty results,5.0,0.0,0.3543956043956044,0.3543956043956044
260,Add scans for DRx-1 to the model,6.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
261,Add scans for DRP-produced Dia* tables to the model,6.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
262,new conda 'mkl' dependent packages break meas_base tests,4.0,0.5550510783200908,0.4065934065934066,0.4065934065934066
263,"newinstall.sh fails with ""eups: command not found""",1.8,0.5550510783200908,0.4065934065934066,0.4065934065934066
264,Fix effective coordinates for defects in obs_subaru,2.0,0.29284903518728717,0.2078754578754579,0.2078754578754579
265,meas_modelfit testMixture test fails on anaconda 2.5,0.25,0.8286038592508513,0.7976190476190477,0.7994505494505495
266,Offset in gaussian-psf in ci_hsc,1.5,0.8286038592508513,0.9807692307692307,0.9807692307692307
267,rework ubuntu.patch,1.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
268,S17 DAX&DB Docs,11.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
269,F17 DAX&DB Docs,59.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
270,F17 Data Access Model Refresh,20.0,0.0,0.9459706959706959,0.5815018315018315
271,F18 DAX&DB Docs,65.0,0.0,0.9459706959706959,0.5815018315018315
272,Generalizing data chunking (n-level chunking rather than stripes/subStripes),3.0,0.0,0.9459706959706959,0.5815018315018315
273,"Add intelligence to `validate_drp` so it does ""A Reasonable Thing"" on an unknown output repo",5.0,0.11577752553916004,0.09615384615384616,0.09615384615384616
274,Add multiple-filter capabilities to `validate_drp`,1.0,0.11577752553916004,0.09615384615384616,0.09615384615384616
275,LOAD DATA LOCAL does not work with mariadb,1.0,0.4733257661748014,0.23809523809523808,0.23626373626373626
276,Adapt all HSC calibration data to LSST camera geometry,4.0,0.16572077185017026,0.2078754578754579,0.2078754578754579
277,qserv fails when it mixes mariadb and mariadbclient directories,1.0,0.4733257661748014,0.23809523809523808,0.23626373626373626
278,newinstall.sh should directly install miniconda,0.75,0.5550510783200908,0.4065934065934066,0.4065934065934066
279,FY18 Centralize access to database servers,60.0,0.0,0.9459706959706959,0.5815018315018315
280,Cost adding the support for Object / DiaObject joins in Qserv,2.0,0.5743473325766175,0.9459706959706959,0.5815018315018315
281,Create InputField for generic use cases.,2.0,0.2383654937570942,0.07692307692307693,0.07875457875457875
